Model_Name,Epoch,Loss_Total,Loss_PDE,Loss_BC
Model_A_Shallow,1,1.7856351137161255,1.7784351110458374,0.007199935149401426
Model_A_Shallow,100,1.3482352495193481,1.251743197441101,0.09649213403463364
Model_A_Shallow,200,1.0284311771392822,0.8899202346801758,0.13851092755794525
Model_A_Shallow,300,0.23089227080345154,0.1999528855085373,0.030939389020204544
Model_A_Shallow,400,0.15248741209506989,0.14327427744865417,0.009213143959641457
Model_A_Shallow,500,0.14714697003364563,0.14027716219425201,0.006869808305054903
Model_A_Shallow,600,0.1390267163515091,0.13489095866680145,0.004135754890739918
Model_A_Shallow,700,0.13570573925971985,0.13227877020835876,0.0034269741736352444
Model_A_Shallow,800,0.13742277026176453,0.13450439274311066,0.0029183709993958473
Model_A_Shallow,900,0.1461188644170761,0.1437138170003891,0.0024050555657595396
Model_A_Shallow,1000,0.13480451703071594,0.13220997154712677,0.0025945459492504597
Model_A_Shallow,1100,0.13614509999752045,0.13407978415489197,0.002065315144136548
Model_A_Shallow,1200,0.12640488147735596,0.12410938739776611,0.0022955064196139574
Model_A_Shallow,1300,0.1352003514766693,0.13340620696544647,0.0017941463738679886
Model_A_Shallow,1400,0.12701904773712158,0.12513990700244904,0.0018791398033499718
Model_A_Shallow,1500,0.13056446611881256,0.12892551720142365,0.0016389447264373302
Model_A_Shallow,1600,0.13574571907520294,0.13432376086711884,0.0014219568111002445
Model_A_Shallow,1700,0.12229859828948975,0.12035050988197327,0.001948088756762445
Model_A_Shallow,1800,0.12631142139434814,0.12463007867336273,0.00168134574778378
Model_A_Shallow,1900,0.1248992383480072,0.12345725297927856,0.0014419857179746032
Model_A_Shallow,2000,0.10394884645938873,0.10069867223501205,0.0032501774840056896
Model_B_Standard,1,1.7909502983093262,1.7883206605911255,0.002629642141982913
Model_B_Standard,100,0.26860180497169495,0.1994074434041977,0.06919437646865845
Model_B_Standard,200,0.1427164524793625,0.13559125363826752,0.007125195115804672
Model_B_Standard,300,0.13763047754764557,0.13432839512825012,0.0033020826522260904
Model_B_Standard,400,0.13084791600704193,0.12827639281749725,0.002571510151028633
Model_B_Standard,500,0.13311658799648285,0.13088290393352509,0.0022336840629577637
Model_B_Standard,600,0.12783950567245483,0.1250024139881134,0.0028370963409543037
Model_B_Standard,700,0.1236128956079483,0.12163425236940384,0.0019786464981734753
Model_B_Standard,800,0.009100879542529583,0.007044291589409113,0.0020565881859511137
Model_B_Standard,900,0.006297707557678223,0.00451165484264493,0.0017860529478639364
Model_B_Standard,1000,0.00575216906145215,0.004142446909099817,0.001609722152352333
Model_B_Standard,1100,0.004693480674177408,0.003241075435653329,0.0014524052385240793
Model_B_Standard,1200,0.004240993410348892,0.0028822594322264194,0.0013587339781224728
Model_B_Standard,1300,0.0035737385042011738,0.0024245930835604668,0.0011491455370560288
Model_B_Standard,1400,0.003031747881323099,0.0020138840191066265,0.0010178638622164726
Model_B_Standard,1500,0.0028692795895040035,0.001869588508270681,0.0009996911976486444
Model_B_Standard,1600,0.0023463587276637554,0.0015077567659318447,0.0008386018453165889
Model_B_Standard,1700,0.0021811046171933413,0.001385987619869411,0.0007951168809086084
Model_B_Standard,1800,0.002452628221362829,0.0014085107250139117,0.0010441173799335957
Model_B_Standard,1900,0.002004662062972784,0.0009967498481273651,0.001007912214845419
Model_B_Standard,2000,0.001349358819425106,0.0008236381690949202,0.0005257207085378468
Model_C_Deep,1,1.794838547706604,1.773500919342041,0.02133769728243351
Model_C_Deep,100,0.15461869537830353,0.14061705768108368,0.014001649804413319
Model_C_Deep,200,0.1442859172821045,0.13634423911571503,0.007941676303744316
Model_C_Deep,300,0.13891834020614624,0.13539424538612366,0.003524082014337182
Model_C_Deep,400,0.13151870667934418,0.12975119054317474,0.0017675108974799514
Model_C_Deep,500,0.12571276724338531,0.12390725314617157,0.0018055140972137451
Model_C_Deep,600,0.13035376369953156,0.12944337725639343,0.0009103817283175886
Model_C_Deep,700,0.1314247101545334,0.13000288605690002,0.0014218119904398918
Model_C_Deep,800,0.1260559856891632,0.12495627254247665,0.0010997073259204626
Model_C_Deep,900,0.08919601142406464,0.08692792803049088,0.002268078736960888
Model_C_Deep,1000,0.003382692579180002,0.002178177237510681,0.001204515341669321
Model_C_Deep,1100,0.0022782520391047,0.0015578565653413534,0.0007203953573480248
Model_C_Deep,1200,0.0027794018387794495,0.00193076825235039,0.0008486335864290595
Model_C_Deep,1300,0.008573677390813828,0.00577428238466382,0.0027993950061500072
Model_C_Deep,1400,0.0009889574721455574,0.0006878123385831714,0.0003011450753547251
Model_C_Deep,1500,0.000732833577785641,0.0005228302325122058,0.00021000331616960466
Model_C_Deep,1600,0.0013357405550777912,0.0009153588325716555,0.0004203817807137966
Model_C_Deep,1700,0.0005926364101469517,0.00040160055505111814,0.0001910358405439183
Model_C_Deep,1800,0.0007288953056558967,0.0005075546796433628,0.0002213406260125339
Model_C_Deep,1900,0.00066463986877352,0.00045519074774347246,0.00020944912103004754
Model_C_Deep,2000,0.004539753310382366,0.003120345761999488,0.0014194076647982001
