epoch,train_loss,test_loss
1,0.9982187151908875,0.8276597857475281
2,0.947080135345459,0.7862155437469482
3,0.899626612663269,0.7463850378990173
4,0.854032039642334,0.7070465087890625
5,0.8091634511947632,0.6667510271072388
6,0.7631924152374268,0.6265029907226562
7,0.7173165678977966,0.5859600305557251
8,0.6711335182189941,0.5458709001541138
9,0.6256000399589539,0.5062523484230042
10,0.5805655121803284,0.4675080180168152
11,0.536643385887146,0.42946913838386536
12,0.49351024627685547,0.3921377956867218
13,0.4511915445327759,0.3559193015098572
14,0.41004425287246704,0.3204934597015381
15,0.3698076009750366,0.2864602208137512
16,0.33110660314559937,0.25369128584861755
17,0.29370802640914917,0.22249121963977814
18,0.258029580116272,0.19336895644664764
19,0.22465074062347412,0.16683974862098694
20,0.19413988292217255,0.14311736822128296
21,0.16676610708236694,0.12241298705339432
22,0.14273232221603394,0.1048455610871315
23,0.12215849757194519,0.09063764661550522
24,0.10531970858573914,0.07944535464048386
25,0.09188586473464966,0.07085378468036652
26,0.081381656229496,0.06450974196195602
27,0.07346832007169724,0.0599568746984005
28,0.06768816709518433,0.0566166453063488
29,0.06341148167848587,0.053941890597343445
30,0.05998316407203674,0.05157540366053581
31,0.057009100914001465,0.048978041857481
32,0.05385962128639221,0.04577723145484924
33,0.05019133538007736,0.041772980242967606
34,0.04559306055307388,0.0371716134250164
35,0.04036585986614227,0.032521676272153854
36,0.03510264679789543,0.02846406027674675
37,0.030543381348252296,0.025298843160271645
38,0.027009306475520134,0.023070823401212692
39,0.024530505761504173,0.021588336676359177
40,0.02287185750901699,0.02055046707391739
41,0.02170531451702118,0.019690660759806633
42,0.020745567977428436,0.018884144723415375
43,0.019846398383378983,0.018063222989439964
44,0.018938742578029633,0.017281217500567436
45,0.01803985983133316,0.01658065989613533
46,0.017236167564988136,0.0159757062792778
47,0.01657298393547535,0.015451444312930107
48,0.015984749421477318,0.015062373131513596
49,0.015542860142886639,0.014601845294237137
50,0.015018831938505173,0.014058195054531097
51,0.014379579573869705,0.013477145694196224
52,0.013667565770447254,0.012935472652316093
53,0.01296992041170597,0.012510739266872406
54,0.012379922904074192,0.01223727222532034
55,0.01194565650075674,0.012081864289939404
56,0.01164968591183424,0.011970830149948597
57,0.011426251381635666,0.011821132153272629
58,0.011202182620763779,0.011584855616092682
59,0.010931110009551048,0.011258062906563282
